Name,Latitude,Longitude,Address,Phone,Website,Image,Ranking,Description,Category1,Category2,City
Hsing Tian Kong,25.06307,25.06307,"No.109 Er Section, Minquan East Road, Taipei Taiwan",+886 2 2502 7924,http://www.ht.org.tw,https://media-cdn.tripadvisor.com/media/photo-s/0e/58/a4/d7/outside-view.jpg,#22 of 668 things to do in Taipei,,['Sights & Landmarks'],['Sacred & Religious Sites'],Taipei
Ximending,25.0453,25.0453,"Wanhua District, Taipei 108 Taiwan",+886 2 2720 8889,http://www.ximen.com.tw/news.html,https://media-cdn.tripadvisor.com/media/photo-f/12/0a/88/4b/ximending.jpg,#25 of 668 things to do in Taipei,,"['Sights & Landmarks', 'Other']",['Neighborhoods'],Taipei
Songshan Ciyou Temple,25.05106,25.05106,"No.761 Fourth Section Bade Road, Songshan District, Taipei Taiwan",+886 2 2765 9017,http://taiwan.net.tw/m1.aspx?sNo=0001090&id=227,https://media-cdn.tripadvisor.com/media/photo-c/320x120/0a/8a/07/ce/caption.jpg,#15 of 668 things to do in Taipei,,['Sights & Landmarks'],['Sacred & Religious Sites'],Taipei
Taipei Expo Park,25.069304,25.069304,"No.1, Yumen St., Zhongshan Dist., Taipei 10452 Taiwan",+886 2 2182 8886,http://www.taipei-expopark.tw/english/index.aspx,https://media-cdn.tripadvisor.com/media/photo-f/07/cf/3e/84/taipei-expo-park.jpg,#52 of 668 things to do in Taipei,,['Nature & Parks'],['Parks'],Taipei
Taipei Children's Amusement Park,25.097317,25.097317,"No.55, Section 5, Chengde Road, Shilin District, Taipei 11169 Taiwan",+886 2 2833 3823,http://tcap.trtc.com.tw/,https://media-cdn.tripadvisor.com/media/photo-s/0e/5b/14/52/caption.jpg,#14 of 668 things to do in Taipei,,['Water & Amusement Parks'],['Theme Parks'],Taipei
Shin Kong Mitsukoshi Mall (Taipei Nanxi),25.052286,25.052286,"No.12 Nanjing West Rd. Xinyi Dist., Taipei 10444 Taiwan",+886 2 2568 2868,http://www.skm.com.tw/,https://media-cdn.tripadvisor.com/media/photo-f/0c/4c/eb/a3/getlstd-property-photo.jpg,#56 of 668 things to do in Taipei,"With 13 stores and 22 halls, Shin Kong Mitsukoshi welcomes over 100 million visits a year in Taiwan. Shin Kong Mitsukoshi is Taiwan’s most fashionable and popular department store with 22 stores in seven cities including Taipei, Taoyuan, Hsinchu, Taichung, Chaiyi, Tainan, and Kaohsiung.",['Shopping'],['Shopping Malls'],Taipei
Maokong Gondola,24.968897,24.968897,Taipei Taiwan,886-2-27208889,https://english.gondola.taipei/,https://media-cdn.tripadvisor.com/media/photo-f/0b/c8/f9/ee/maokong.jpg,#17 of 668 things to do in Taipei,,['Transportation'],['Tramways'],Taipei
Taipei 101,25.033863,25.033863,"No.45, Shifu Rd., Xinyi Dist., Taipei 11049 Taiwan",862-81017777,http://www.taipei-101.com.tw/,https://media-cdn.tripadvisor.com/media/photo-s/16/06/24/42/caption.jpg,#1 of 668 things to do in Taipei,"At 101 stories high, Taiwan's tallest skyscraper boasts spectacular views and high-end shopping boutiques including Gucci, Prada, and Louis Vuitton. There's also a Din Tai Fung on the basement level.","['Shopping', 'Sights & Landmarks']","['Architectural Buildings', 'Shopping Malls']",Taipei
Miramar Entertainment Park,25.082918,25.082918,"No.20 Jingyuesan Road, Taipei 104 Taiwan",+886 2 2175 3456,http://www.miramar.com.tw/main.php,https://media-cdn.tripadvisor.com/media/photo-f/07/24/14/43/caption.jpg,#66 of 668 things to do in Taipei,"Miramar Entertainment Complex is a shopping and entertainment destination. Find a mix of local and international brand stores plus a massive Ferris wheel, games, an IMAX theater, and restaurants.",['Shopping'],"['Department Stores', 'Shopping Malls']",Taipei
Gyeongbokgung Palace,37.579338,37.579338,"161 Sajik-ro, Jongno-gu, Seoul South Korea",+82 2-3700-3900,http://www.royalpalace.go.kr:8080/html/eng/main/main.jsp,https://media-cdn.tripadvisor.com/media/photo-s/15/6a/f8/e8/palace.jpg,#6 of 971 things to do in Seoul,"The National Museum of Korea and the National Folk Museum are located on the grounds of this palace, built six centuries ago by the founder of the Chosun dynasty.","['Sights & Landmarks', 'Museums']","['Historic Sites', 'History Museums']",Seoul
Bukhansan National Park,37.654488,37.654488,"262, Bogungmun-ro, Seongbuk-gu, Seoul 02700 South Korea",+82 2-909-0497,http://bukhan.knps.or.kr,https://media-cdn.tripadvisor.com/media/photo-f/09/70/71/11/bukhansan-national-park.jpg,#2 of 971 things to do in Seoul,"One of the most popular pastimes in Seoul is hiking and this stunning national park just outside the city is a local favorite. Aside from a variety of hiking trails for every skill level, you’ll also see lots of flora and fauna, temples and ancient fortresses.",['Nature & Parks'],['National Parks'],Seoul
Changdeokgung Palace,37.579254,37.579254,"99, Yulgok-ro, Jongno-gu, Seoul 03072 South Korea",+82 2-762-8261,http://www.cdg.go.kr,https://media-cdn.tripadvisor.com/media/photo-f/16/19/5e/41/entrance.jpg,#9 of 971 things to do in Seoul,This 600-year-old UNESCO World Heritage Site is the city's jewel. It's as famous for its outstanding architectural details as for its verdant and expansive gardens.,"['Sights & Landmarks', 'Nature & Parks']","['Architectural Buildings', 'Gardens', 'Historic Sites']",Seoul
The War Memorial of Korea,37.53534,37.53534,"29, Itaewon-ro, Yongsan-gu, Seoul 04353 South Korea",+82 2-709-3139,http://www.warmemo.or.kr/newwm/eng/main.jsp,https://media-cdn.tripadvisor.com/media/photo-s/09/e5/01/9f/the-war-memorial-of-korea.jpg,#3 of 971 things to do in Seoul,"Poignant exhibits, war memorabilia, art works, and military equipment make this a perfect place to learn about Korea’s history of war, most notably with North Korea. Kids will enjoy the display of actual tanks and airplanes.",['Museums'],['Military Museums'],Seoul
National Museum of Korea,37.523853,37.523853,"137 Seobinggo-ro, Yongsan-gu, Seoul 04383 South Korea",+82 2-2077-9000,http://www.museum.go.kr/site/eng/home,https://media-cdn.tripadvisor.com/media/daodao/photo-f/11/24/a9/f5/caption.jpg,#5 of 971 things to do in Seoul,"This is the largest museum in Korea with over 220,000 objects in its collection. It has six permanent exhibition galleries such as Historical Gallery and Fine Arts Gallery. It also has special exhibition halls, a children's museum, outdoor exhibit areas, restaurants, cafes, shops and other amenities. *Admission: Free to Permanent Exhibition & Children's Museum(changeable after 2010)*Hours: Tue/Thu/Fri: 9am-6pm, Wed/Sat: 9am-9pm, Sun/holidays: 9am-7pm, closed Mon & January 1st",['Museums'],['History Museums'],Seoul
Trickeye Museum Seoul,37.553406,37.553406,"20, Hongik-ro 3-gil, Mapo-gu Seogyo Plaza B2, Seoul 04039 South Korea",+82 2-3144-6300,http://www.trickeye.com,https://media-cdn.tripadvisor.com/media/photo-s/0e/db/9d/22/riding-on-a-dragon.jpg,#21 of 971 things to do in Seoul,"The Trickeye Museum is ""one of a kind"" painting gallery, which combines art with hi-end technology - so-called AR (Augmented Reality) effect and 2D/3D illusions. Instead of merely viewing paintings (as in a typical art gallery), visitors can interact with the paintings using newly developed Trickeye Camera application to make pictures alive in order to be a part of the artwork and record it on video or make a picture. Moreover, there is the Ice Museum located in the Trickeye Museum, items in which are fully made out of ice such as iced TV, ice kitchen, ice slope etc. With one admission ticket you can enjoy both ""Trickeye Museum"" and ""Ice Museum"". To ensure that even its busiest customers have time to enjoy the fun, the museum stays open each day all around the year from 9 AM until 9 PM (last admission by 8 PM), making it a popular date and hang-out place. Outside of the main exhibition hall there is museum café, which exclusively serves Latte with Your picture from the phone on it.",['Museums'],['Specialty Museums'],Seoul
Lotte World Tower & Mall,37.512608,37.512608,"300, Olympic-ro, Songpa-gu 117-123F, Lotte World Tower, Seoul 05551 South Korea",+82 2-3213-5000,http://www.lwt.co.kr/,https://media-cdn.tripadvisor.com/media/photo-s/0e/f3/03/2c/event-for-1st-day-of.jpg,#20 of 971 things to do in Seoul,"Lotte World Tower & Mall offers stores, cafes, restaurants, galleries, and even a concert hall. The Tower is the fifth highest in the world and has an observation deck, a skywalk, and a luxury hotel.","['Shopping', 'Sights & Landmarks']","['Points of Interest & Landmarks', 'Observation Decks & Towers', 'Shopping Malls']",Seoul
KTX (Korea Train Express),37.554455,37.554455,Seoul South Korea,+82 1544-7788,http://www.letskorail.com/ebizbf/EbizbfForeign_pr16100.do?gubun=1,https://media-cdn.tripadvisor.com/media/photo-s/12/18/24/20/supertrein.jpg,#11 of 971 things to do in Seoul,,['Transportation'],['Mass Transportation Systems'],Seoul
Hangang Park,37.511993,37.511993,Seoul South Korea,+82 2-3780-0561,http://hangang.seoul.go.kr,https://media-cdn.tripadvisor.com/media/photo-f/01/f9/33/b0/caption.jpg,#10 of 971 things to do in Seoul,This park is a good place to get away from the crowds and bustle of Seoul. The cycling trails (bikes are available for rent) are popular as are the swan boat rides. And the views of the Han river and city are stunning.,['Nature & Parks'],['Parks'],Seoul
N Seoul Tower,37.551388,37.551388,"105, Namsangongwon-gil, Yongsan-gu, Seoul 04340 South Korea",+82 2-3455-9277,http://www.nseoultower.co.kr/eng,https://media-cdn.tripadvisor.com/media/photo-s/02/1f/d3/4c/caption.jpg,#43 of 971 things to do in Seoul,"Built on a 262 meter peak in Namsan Park, the tower reaches to 480 meters above sea level. When the weather and pollution levels cooperate, visiting the observation tower (370 meters above sea level) allows you to view the entire city and surrounding areas.",['Sights & Landmarks'],"['Observation Decks & Towers', 'Points of Interest & Landmarks', 'Lookouts']",Seoul
Namsan Park,37.55184,37.55184,"100-177 Hoehyeon-dong 1-ga, Jung-gu Yongsan-dong, Yongsan-gu, Seoul South Korea",+82 2-3483-5900,http://parks.seoul.go.kr/template/default.jsp?park_id=namsan,https://media-cdn.tripadvisor.com/media/photo-f/0e/55/29/27/great-scenic-view-of.jpg,#25 of 971 things to do in Seoul,,['Nature & Parks'],"['Parks', 'Gardens']",Seoul
Myeongdong NANTA Theater,37.56353,37.56353,"26, Myeongdong-gil, Jung-gu UNESCO Hall 3F, Seoul 04536 South Korea",+82 2-739-8288,http://www.nanta.co.kr,https://media-cdn.tripadvisor.com/media/photo-s/04/35/04/dd/myeongdong-nanta-theatre.jpg,#4 of 971 things to do in Seoul,,['Concerts & Shows'],['Theaters'],Seoul
Cheonggyecheon Stream,37.568733,37.568733,Seoul South Korea,+82 2-762-8261,http://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp,https://media-cdn.tripadvisor.com/media/photo-s/05/e6/33/ce/cheonggyecheon.jpg,#32 of 971 things to do in Seoul,Formerrly polluted and covered with an elevated road since 2005 this stream has been cleaned up and made into an Art and nature walkway through the heart of Seoul.,"['Sights & Landmarks', 'Nature & Parks']","['Bodies of Water', 'Historic Walking Areas']",Seoul
Jogyesa Temple,37.573803,37.573803,"45 Gyeonji-dong, Jongno-gu, Seoul 110-170 South Korea",+82 2-732-2183,http://www.jogyesa.kr,https://media-cdn.tripadvisor.com/media/photo-s/10/ea/7f/bb/jogyesa-temple.jpg,#15 of 971 things to do in Seoul,"This beautiful, colorful temple is the center of Zen Buddhism in Korea. Equally lovely is the courtyard, which is filled with vibrant lanterns and trees more than 500 years old.",['Sights & Landmarks'],"['Sacred & Religious Sites', 'Monuments & Statues']",Seoul
Bongeunsa Temple,37.515247,37.515247,"73 Samseong-dong, Gangnam-gu, Seoul 135-090 South Korea",+82 2-511-6070,http://www.bongeunsa.org,https://media-cdn.tripadvisor.com/media/photo-f/10/9f/ed/b6/photo4jpg.jpg,#12 of 971 things to do in Seoul,"It’s hard to believe that this large, beautiful Buddhist temple is situated in the middle of a bustling metropolis. It’s impossible not to be moved by the beauty and serenity of this enchanting temple. You can even stay overnight for a fee.",['Sights & Landmarks'],"['Sacred & Religious Sites', 'Points of Interest & Landmarks']",Seoul
Haneul Park,37.566414,37.566414,"95, Haneulgongwon-ro, Mapo-gu, Seoul 03900 South Korea",+82 2-300-5501,http://worldcuppark.seoul.go.kr/parkinfo/parkinfo3_1.html,https://media-cdn.tripadvisor.com/media/photo-s/07/7e/82/96/haneul-park.jpg,#14 of 971 things to do in Seoul,,['Nature & Parks'],['Parks'],Seoul
Bukchon Hanok Village,37.58241,37.58241,"37, Gyedong-gil, Jongno-gu, Seoul 03059 South Korea",+82 2-2133-1372,http://bukchon.seoul.go.kr/eng/index.jsp,https://media-cdn.tripadvisor.com/media/photo-f/16/46/54/8a/photo1jpg.jpg,#48 of 971 things to do in Seoul,,"['Sights & Landmarks', 'Other']","['Points of Interest & Landmarks', 'Neighborhoods']",Seoul
